msg945/\Larry Wall/\ September  9, 1999 17:27
msg942/\Ilya Zakharevich/\ September  9, 1999 17:19
msg934/\Graham Barr/\ September  9, 1999 16:29
msg930/\Ilya Zakharevich/\ September  9, 1999 16:24
msg964/\Nick Ing-Simmons/\ September 10, 1999 03:32
msg965/\Ilya Zakharevich/\ September 10, 1999 03:44
msg974/\Nick Ing-Simmons/\ September 10, 1999 05:44
msg978/\Ilya Zakharevich/\ September 10, 1999 06:09
msg988/\Nick Ing-Simmons/\ September 10, 1999 07:19
msg940/\Graham Barr/\ September  9, 1999 16:52
msg946/\Ilya Zakharevich/\ September  9, 1999 17:33
msg966/\Nick Ing-Simmons/\ September 10, 1999 03:48
msg979/\Ilya Zakharevich/\ September 10, 1999 06:15
msg982/\Graham Barr/\ September 10, 1999 06:31
msg986/\Ilya Zakharevich/\ September 10, 1999 07:07
msg991/\Graham Barr/\ September 10, 1999 08:27
msg995/\Mark Mielke/\ September 10, 1999 09:08
msg1050/\Nick Ing-Simmons/\ September 12, 1999 16:59
msg1005/\Mark Mielke/\ September 10, 1999 12:37
msg1001/\Larry Wall/\ September 10, 1999 10:38
msg947/\Graham Barr/\ September  9, 1999 17:58
msg948/\Ilya Zakharevich/\ September  9, 1999 18:07
msg949/\Graham Barr/\ September  9, 1999 18:28
msg967/\Nick Ing-Simmons/\ September 10, 1999 04:14
msg976/\Ilya Zakharevich/\ September 10, 1999 06:01
msg981/\Graham Barr/\ September 10, 1999 06:29
msg984/\Ilya Zakharevich/\ September 10, 1999 07:04
msg990/\Graham Barr/\ September 10, 1999 08:25
msg971/\Graham Barr/\ September 10, 1999 05:13
msg952/\Larry Wall/\ September  9, 1999 19:22
msg955/\Graham Barr/\ September  9, 1999 19:43
msg969/\Nick Ing-Simmons/\ September 10, 1999 04:55
